code,name,category,image,description,size_notes,allows_customization,is_active
FY.AN.001,Gato,Animales,FY.AN.001.png,,,1,1
FY.AN.002,Gallina,Animales,FY.AN.002.png,,,1,1
FY.AN.003,Perro,Animales,FY.AN.003.png,,,1,1
FY.AN.004,Caballo,Animales,FY.AN.004.png,,,1,1
FY.AN.005,Pato,Animales,FY.AN.005.png,,,1,1
FY.AN.006,Pato sentado,Animales,FY.AN.006.png,,,1,1
FY.AN.007,Roedor,Animales,FY.AN.007.png,,,1,1
FY.AN.008,Capibara con bebida,Animales,FY.AN.008.png,,,1,1
FY.AN.009,Capibara con sandía,Animales,FY.AN.009.png,,,1,1
FY.AN.010,Caracol,Animales,FY.AN.010.png,,,1,1
FY.AN.011,Cocodrilo,Animales,FY.AN.011.png,,,1,1
FY.AN.012,Elefante,Animales,FY.AN.012.png,,,1,1
FY.AN.013,Oruga,Animales,FY.AN.013.png,,,1,1
FY.AN.014,Ardilla,Animales,FY.AN.014.png,,,1,1
FY.AN.015,Hormiga,Animales,FY.AN.015.png,,,1,1
FY.AN.016,Jirafa,Animales,FY.AN.016.png,,,1,1
FY.AN.017,León,Animales,FY.AN.017.png,,,1,1
FY.AN.018,Mariposa,Animales,FY.AN.018.png,,,1,1
FY.AN.019,Mariquita,Animales,FY.AN.019.png,,,1,1
FY.AN.020,Mono,Animales,FY.AN.020.png,,,1,1
FY.AN.021,Oso saludando,Animales,FY.AN.021.png,,,1,1
FY.AN.022,Oso sentado,Animales,FY.AN.022.png,,,1,1
FY.AN.023,Panda,Animales,FY.AN.023.png,,,1,1
FY.AN.024,Pelícano,Animales,FY.AN.024.png,,,1,1
FY.AN.025,Pollito,Animales,FY.AN.025.png,,,1,1
FY.AN.026,Insecto verde,Animales,FY.AN.026.png,,,1,1
FY.AN.027,Rana,Animales,FY.AN.027.png,,,1,1
FY.AN.028,Serpiente,Animales,FY.AN.028.png,,,1,1
FY.AN.029,Tortuga,Animales,FY.AN.029.png,,,1,1
FY.AN.030,Tigre,Animales,FY.AN.030.png,,,1,1
FY.AN.031,Cebra,Animales,FY.AN.031.png,,,1,1
FY.AN.032,Vaca,Animales,FY.AN.032.png,,,1,1
FY.AN.033,Loro,Animales,FY.AN.033.png,,,1,1
FY.AN.034,Dinosaurio,Animales,FY.AN.034.png,,,1,1
FY.AN.035,Unicornio,Animales,FY.AN.035.png,,,1,1
FY.AN.036,Cerdo,Animales,FY.AN.036.png,,,1,1
FY.AN.037,Paloma,Animales,FY.AN.037.png,,,1,1
FY.AN.038,Conejo,Animales,FY.AN.038.png,,,1,1
FY.CD.001,Niño con bastón y gafas,Capacidades diferentes,FY.CD.001.png,,,1,1
FY.CAR.001,Bienvenidos al año lectivo,Carteles,FY.CAR.001.png,,,1,1
FY.CAR.002,Banderín de bienvenida,Carteles,FY.CAR.002.png,,,1,1
FY.CAR.003,Bienvenidos al nuevo año lectivo,Carteles,FY.CAR.003.png,,,1,1
FY.CAR.004,Bienvenida con nombre de profesora,Carteles,FY.CAR.004.png,,,1,1
FY.CAR.005,Banderín con nombre de profesora,Carteles,FY.CAR.005.png,,,1,1
FY.CH.001,Digestivo,Cuerpo humano y células,FY.CH.001.png,,,1,1
FY.CH.002,Circulatorio,Cuerpo humano y células,FY.CH.002.png,,,1,1
FY.CH.003,Sistema urinario,Cuerpo humano y células,FY.CH.003.png,,,1,1
FY.CH.004,Nervioso,Cuerpo humano y células,FY.CH.004.png,,,1,1
FY.CH.005,Respiratorio,Cuerpo humano y células,FY.CH.005.png,,,1,1
FY.CH.006,Reproductor femenino,Cuerpo humano y células,FY.CH.006.png,,,1,1
FY.CH.007,Reproductor masculino,Cuerpo humano y células,FY.CH.007.png,,,1,1
FY.CH.008,Esqueleto humano,Cuerpo humano y células,FY.CH.008.png,,,1,1
FY.CH.009,Cerebro,Cuerpo humano y células,FY.CH.009.png,,,1,1
FY.CH.010,Corazón humano,Cuerpo humano y células,FY.CH.010.png,,,1,1
FY.CH.011,Célula animal,Cuerpo humano y células,FY.CH.011.png,,,1,1
FY.CH.012,Célula procariota,Cuerpo humano y células,FY.CH.012.png,,,1,1
FY.CH.013,Célula vegetal,Cuerpo humano y células,FY.CH.013.png,,,1,1
FY.ER.001,Pareja con tocados de plumas,Etnias y regiones,FY.ER.001.png,,,1,1
FY.ER.002,Pareja con pañuelo y falda,Etnias y regiones,FY.ER.002.png,,,1,1
FY.ER.003,Pareja con sombreros,Etnias y regiones,FY.ER.003.png,,,1,1
FY.ER.004,Pareja con pañuelos amarillos,Etnias y regiones,FY.ER.004.png,,,1,1
FY.IM.001,Bajo eléctrico,Instrumentos musicales,FY.IM.001.png,,,1,1
FY.IM.002,Guitarra,Instrumentos musicales,FY.IM.002.png,,,1,1
FY.IM.003,Maracas,Instrumentos musicales,FY.IM.003.png,,,1,1
FY.IM.004,Saxofón,Instrumentos musicales,FY.IM.004.png,,,1,1
FY.IM.005,Tambor,Instrumentos musicales,FY.IM.005.png,,,1,1
FY.IM.006,Violín,Instrumentos musicales,FY.IM.006.png,,,1,1
FY.IM.007,Arpa,Instrumentos musicales,FY.IM.007.png,,,1,1
FY.NAV.001,Melchor,Navideños,FY.NAV.001.png,,,1,1
FY.NAV.002,Baltazar,Navideños,FY.NAV.002.png,,,1,1
FY.NAV.003,Gaspar,Navideños,FY.NAV.003.png,,,1,1
FY.NAV.004,Bota navideña,Navideños,FY.NAV.004.png,,,1,1
FY.NAV.005,Reno navideño,Navideños,FY.NAV.005.png,,,1,1
