code,name,category,image,description,size_notes,allows_customization,is_active
FY.AN.001,,Animales,FY.AN.001.png,,,1,1
FY.AN.002,,Animales,FY.AN.002.png,,,1,1
FY.AN.003,,Animales,FY.AN.003.png,,,1,1
FY.AN.004,,Animales,FY.AN.004.png,,,1,1
FY.AN.005,,Animales,FY.AN.005.png,,,1,1
FY.AN.006,,Animales,FY.AN.006.png,,,1,1
FY.AN.007,,Animales,FY.AN.007.png,,,1,1
FY.AN.008,,Animales,FY.AN.008.png,,,1,1
FY.AN.009,,Animales,FY.AN.009.png,,,1,1
FY.AN.010,,Animales,FY.AN.010.png,,,1,1
FY.AN.011,,Animales,FY.AN.011.png,,,1,1
FY.AN.012,,Animales,FY.AN.012.png,,,1,1
FY.AN.013,,Animales,FY.AN.013.png,,,1,1
FY.AN.014,,Animales,FY.AN.014.png,,,1,1
FY.AN.015,,Animales,FY.AN.015.png,,,1,1
FY.AN.016,,Animales,FY.AN.016.png,,,1,1
FY.AN.017,,Animales,FY.AN.017.png,,,1,1
FY.AN.018,,Animales,FY.AN.018.png,,,1,1
FY.AN.019,,Animales,FY.AN.019.png,,,1,1
FY.AN.020,,Animales,FY.AN.020.png,,,1,1
FY.AN.021,,Animales,FY.AN.021.png,,,1,1
FY.AN.022,,Animales,FY.AN.022.png,,,1,1
FY.AN.023,,Animales,FY.AN.023.png,,,1,1
FY.AN.024,,Animales,FY.AN.024.png,,,1,1
FY.AN.025,,Animales,FY.AN.025.png,,,1,1
FY.AN.026,,Animales,FY.AN.026.png,,,1,1
FY.AN.027,,Animales,FY.AN.027.png,,,1,1
FY.AN.028,,Animales,FY.AN.028.png,,,1,1
FY.AN.029,,Animales,FY.AN.029.png,,,1,1
FY.AN.030,,Animales,FY.AN.030.png,,,1,1
FY.AN.031,,Animales,FY.AN.031.png,,,1,1
FY.AN.032,,Animales,FY.AN.032.png,,,1,1
FY.AN.033,,Animales,FY.AN.033.png,,,1,1
FY.AN.034,,Animales,FY.AN.034.png,,,1,1
FY.AN.035,,Animales,FY.AN.035.png,,,1,1
FY.AN.036,,Animales,FY.AN.036.png,,,1,1
FY.AN.037,,Animales,FY.AN.037.png,,,1,1
FY.AN.038,,Animales,FY.AN.038.png,,,1,1
FY.CD.001,,Capacidades diferentes,FY.CD.001.png,,,1,1
FY.CAR.001,,Carteles,FY.CAR.001.png,,,1,1
