code,old_name,name,status,reason
FY.AN.001,,Gato,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.002,,Gallina,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.003,,Perro,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.004,,Caballo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.005,,Pato,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.006,,Pato sentado,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.007,,Roedor,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.008,,Capibara con bebida,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.009,,Capibara con sandía,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.010,,Caracol,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.011,,Cocodrilo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.012,,Elefante,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.013,,Oruga,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.014,,Ardilla,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.015,,Hormiga,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.016,,Jirafa,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.017,,León,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.018,,Mariposa,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.019,,Mariquita,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.020,,Mono,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.021,,Oso saludando,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.022,,Oso sentado,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.023,,Panda,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.024,,Pelícano,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.025,,Pollito,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.026,,Insecto verde,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.027,,Rana,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.028,,Serpiente,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.029,,Tortuga,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.030,,Tigre,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.031,,Cebra,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.032,,Vaca,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.033,,Loro,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.034,,Dinosaurio,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.035,,Unicornio,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.036,,Cerdo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.037,,Paloma,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.AN.038,,Conejo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.CD.001,,Niño con bastón y gafas,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.CAR.001,,Bienvenidos al año lectivo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.CAR.002,,Banderín de bienvenida,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.CAR.003,,Bienvenidos al nuevo año lectivo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.CAR.004,,Bienvenida con nombre de profesora,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.CAR.005,,Banderín con nombre de profesora,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.CH.001,Digestivo,Digestivo,retained,Nombre previo compatible con la imagen.
FY.CH.002,Circulatorio,Circulatorio,retained,Nombre previo compatible con la imagen.
FY.CH.003,Endocrino,Sistema urinario,corrected,"El rótulo Endocrino contradice los riñones, uréteres y vejiga visibles. Se corrige a Sistema urinario."
FY.CH.004,Nervioso,Nervioso,retained,Nombre previo compatible con la imagen.
FY.CH.005,Respiratorio,Respiratorio,retained,Nombre previo compatible con la imagen.
FY.CH.006,Reproductor femenino,Reproductor femenino,retained,Nombre previo compatible con la imagen.
FY.CH.007,Reproductor masculino,Reproductor masculino,retained,Nombre previo compatible con la imagen.
FY.CH.008,,Esqueleto humano,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.CH.009,,Cerebro,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.CH.010,,Corazón humano,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.CH.011,Célula animal,Célula animal,retained,Nombre previo compatible con la imagen.
FY.CH.012,Célula procariota,Célula procariota,retained,Nombre previo compatible con la imagen.
FY.CH.013,Célula vegetal,Célula vegetal,retained,Nombre previo compatible con la imagen.
FY.ER.001,,Pareja con tocados de plumas,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ER.002,,Pareja con pañuelo y falda,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ER.003,,Pareja con sombreros,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ER.004,,Pareja con pañuelos amarillos,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.IM.001,,Bajo eléctrico,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.IM.002,,Guitarra,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.IM.003,,Maracas,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.IM.004,,Saxofón,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.IM.005,,Tambor,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.IM.006,,Violín,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.IM.007,,Arpa,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.NAV.001,Melchor,Melchor,retained,Nombre previo compatible con la imagen.
FY.NAV.002,Baltazar,Baltazar,retained,Nombre previo compatible con la imagen.
FY.NAV.003,Gaspar,Gaspar,retained,Nombre previo compatible con la imagen.
FY.NAV.004,Bota navideña,Bota navideña,retained,Nombre previo compatible con la imagen.
FY.NAV.005,Reno navideño,Reno navideño,retained,Nombre previo compatible con la imagen.
FY.NAV.006,Muñeco de nieve,Muñeco de nieve,retained,Nombre previo compatible con la imagen.
FY.ÑA.001,,Niña con lápiz y manzana,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.002,,Niña con libro azul,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.003,,Niña con lápiz y cuaderno,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.004,,Niña con vestido rosa,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.005,,Niña sentada leyendo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.006,,Niña abrazando un lápiz,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.007,,Niña escribiendo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.008,,Niña con delantal y manzana,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.009,,Niña con brazos abiertos,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.010,,Niña con libros,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.012,,Niña con libro rojo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.013,,Niña con vestido y diadema,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.014,,Niña graduada,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.015,,Niña con cuaderno y lazo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.016,,Niña leyendo un libro rojo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.017,,Niña con cuerda de saltar,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑA.018,,Niña con overol y lápiz,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑO.001,,Niño con camiseta roja,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑO.002,,Niño con libro amarillo,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑO.003,,Niño con libro en la mano,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑO.004,,Niño en patineta,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑO.005,,Niño saludando,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑO.006,,Niño con overol azul,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑO.007,,Niño leyendo un libro verde,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑO.008,,Niño con mochila,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑO.009,,Niño graduado,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑO.010,,Niño con balón de fútbol,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.ÑO.011,,Niño con lápiz,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.OP.001,,Bombero,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.OP.002,,Mecánico,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.OP.003,,Policía con uniforme verde,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.OP.004,,Enfermera con uniforme blanco,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.OP.005,,Enfermera con uniforme azul,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
FY.OP.006,Maestra,Maestra,retained,Nombre previo compatible con la imagen.
FY.OP.007,,Policía con radio,named,"Nombre descriptivo de la figura y sus elementos visibles; sin atribución de marca, etnia ni personaje."
